"","x"
"1","888 HLDGS"
"2","AA PLC"
"3","BHP BILLITON"
"4","BR.EMPIRE TRUST"
"5","DAIRY CREST"
"6","EDIN.DRGN.TST."
"7","ESURE"
"8","F&C COMM PRP"
"9","F&C GLOBAL"
"10","FOR.&COL.IV.TST"
"11","HALFORDS"
"12","HICL INF."
"13","INDIVIOR"
"14","JARDINE LLOYD"
"15","JUST GROUP"
"16","KELLER GRP."
"17","KIER GROUP"
"18","NB GLOBAL 愼㸳"
"19","NEX GROUP"
"20","ON THE BEACH"
"21","PADDY PWR BET"
"22","PHOENIX GRP(DI)"
"23","RANDGOLD RES."
"24","RPC GRP."
"25","SAGA"
"26","SHIRE"
"27","SPIRE HEALTH"
"28","STOBART"
"29","SUPERDRY"
"30","THOMAS COOK"
